tra_v_genes	tra_j_genes	trb_v_genes	trb_j_genes	trb_c_genes	VAC	Fill	proportion
TRAV38-2/DV8	TRAJ43	TRBV24-1	TRBJ2-2	TRBC2	PREV	AB50	0.000330907
TRAV13-1	TRAJ49	TRBV6-5	TRBJ1-5	TRBC1	PREV	AB51	0.000330907
TRAV13-1	TRAJ8	TRBV27	TRBJ1-6	TRBC1	PREV	AB52	0.000330907
TRAV5	TRAJ23	TRBV6-1	TRBJ2-5	TRBC2	PREV	AB53	0.000330907
TRAV13-1	TRAJ23	TRBV27	TRBJ2-1	TRBC2	PREV	AB54	0.000330907
TRAV13-1	TRAJ29	TRBV28	TRBJ2-1	TRBC2	PREV	AB55	0.000330907
TRAV38-1	TRAJ43	TRBV28/BV6-1	TRBJ1-5/BJ2-1	TRBC1/BC2	PREV	AB56	0.000330907
TRAV12-1	TRAJ43	TRBV6-2	TRBJ2-7	TRBC2	PREV	AB57	0.000330907
TRAV26-2	TRAJ20	TRBV20-1	TRBJ2-1	TRBC2	PREV	AB58	0.000330907
TRAV9-2	TRAJ9	TRBV28	TRBJ2-1	TRBC2	PREV	AB59	0.000330907
TRAV13-1	TRAJ48	TRBV7-6	TRBJ2-5	TRBC2	PREV	AB60	0.000330907
TRAV14/DV4	TRAJ52	TRBV27	TRBJ2-7	TRBC2	PREV	AB61	0.000330907
TRAV17	TRAJ10	TRBV27	TRBJ2-7	TRBC2	PREV	AB62	0.000330907
TRAV1-2	TRAJ33	TRBV6-1	TRBJ2-5	TRBC2	PREV	AB63	0.000330907
TRAV1-2	TRAJ30	TRBV11-2	TRBJ2-5	TRBC2	PREV	AB64	0.000330907
TRAV19	TRAJ15	TRBV5-1	TRBJ1-3	TRBC1	PREV	AB65	0.000330907
TRAV1-2	TRAJ33	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB66	0.000330907
TRAV29/DV5/AV24	TRAJ49/AJ44	TRBV27	TRBJ1-2	TRBC1	PREV	AB67	0.000330907
TRAV8-1	TRAJ31	TRBV11-3	TRBJ2-2	TRBC2	PREV	AB68	0.000330907
TRAV21/AV3	TRAJ23/AJ6	TRBV27	TRBJ2-1	TRBC2	PREV	AB69	0.000330907
TRAV14/DV4	TRAJ30	TRBV19	TRBJ1-2	TRBC1	PREV	AB70	0.000330907
TRAV29/DV5	TRAJ49	TRBV6-6	TRBJ2-7	TRBC2	PREV	AB71	0.000330907
TRAV26-1	TRAJ5	TRBV12-4	TRBJ2-1	TRBC2	PREV	AB72	0.000330907
TRAV29/DV5	TRAJ35	TRBV5-6	TRBJ1-4	TRBC1	PREV	AB73	0.000330907
TRAV6	TRAJ9	TRBV6-5	TRBJ2-3	TRBC2	PREV	AB74	0.000330907
TRAV12-3	TRAJ37	TRBV14	TRBJ1-2	TRBC1	PREV	AB75	0.000165453
TRAV22/AV35	TRAJ40/AJ27	TRBV15	TRBJ2-3	TRBC2	PREV	AB76	0.000165453
TRAV3	TRAJ15	TRBV9	TRBJ2-5	TRBC2	PREV	AB77	0.000165453
TRAV38-1	TRAJ45	TRBV20-1	TRBJ2-5	TRBC2	PREV	AB78	0.000165453
TRAV16	TRAJ4	TRBV6-5/BV2/BV11-3	TRBJ2-7/BJ2-7/BJ2-5	TRBC2/BC2/BC2	PREV	AB79	0.000165453
TRAV17	TRAJ43	TRBV20-1	TRBJ2-1	TRBC2	PREV	AB80	0.000165453
TRAV4	TRAJ34	TRBV24-1	TRBJ1-1	TRBC1	PREV	AB81	0.000165453
TRAV13-1/AV8-3	TRAJ21/AJ53	TRBV27	TRBJ2-1	TRBC2	PREV	AB82	0.000165453
TRAV17	TRAJ39	TRBV10-2	TRBJ2-1	TRBC2	PREV	AB83	0.000165453
TRAV8-6	TRAJ8	TRBV4-1	TRBJ2-1	TRBC2	PREV	AB84	0.000165453
